bedrooms,bathrooms,square_feet,location,year_built,garage,has_pool,property_type,num_floors,has_basement,price
5,2,2293,Lenexa,1987,1,1,Apartment,3,1,941708
1,2,1104,Overland Park,2007,1,1,Condo,1,0,597419
1,2,3518,Olathe,2012,1,0,Apartment,3,1,905375
1,1,2837,Blue Springs,1990,0,0,Condo,1,1,685672
1,4,3259,Lenexa,2021,0,1,Apartment,2,0,882267
4,4,2569,Leawood,2016,1,1,Apartment,2,0,884204
3,3,651,Blue Springs,2004,0,0,Apartment,1,1,503580
3,3,2069,Olathe,2013,1,1,Apartment,3,1,845001
1,4,3259,Lenexa,2001,1,1,Apartment,2,1,920018
3,2,2005,Olathe,1981,0,0,Condo,1,1,726515
3,2,3021,Overland Park,1995,1,1,House,1,0,981744
1,2,2599,Blue Springs,1990,1,0,Apartment,3,0,663273
3,1,3022,Olathe,1993,1,1,Condo,3,0,967449
5,2,988,Blue Springs,2011,0,0,Condo,1,1,624980
2,1,2272,Overland Park,2001,0,0,Apartment,3,0,702201
2,4,1273,Olathe,1984,0,0,Apartment,1,1,601261
1,2,2489,Lenexa,2015,1,0,Apartment,2,0,680153
4,2,3451,Blue Springs,2002,0,1,Condo,1,0,973139
1,3,2102,Olathe,1998,1,1,Apartment,3,0,772071
4,4,3051,Overland Park,2008,1,0,Apartment,3,1,1057767
2,2,1192,Olathe,2021,0,1,House,3,0,650912
1,1,3379,Olathe,2002,0,1,Condo,3,0,862875
6,4,3152,Lenexa,1988,1,1,Apartment,1,0,1093550
5,3,682,Leawood,1997,0,1,Condo,1,1,668415
3,4,2966,KC Downtown,2010,0,0,Apartment,1,0,989642
4,1,3738,Leawood,2016,1,1,Apartment,1,0,1012288
6,3,1013,Leawood,1996,0,1,Condo,3,0,789476
3,1,3100,KC Downtown,1997,1,1,Condo,2,1,1016243
3,4,3393,Olathe,2006,0,1,Condo,2,1,1072542
1,3,797,Leawood,2000,0,1,Condo,3,1,477552
3,1,2906,Leawood,1980,1,0,House,2,1,868343
5,4,2312,Overland Park,2011,1,1,Condo,1,0,993697
6,1,2945,Overland Park,1993,1,1,Apartment,2,1,1108545
3,2,1903,Lenexa,1993,1,1,Apartment,1,0,732662
1,4,899,Blue Springs,2012,0,1,Condo,1,0,463090
5,3,728,Olathe,2015,0,0,Condo,1,1,678107
2,3,3145,Lenexa,2018,0,1,Condo,3,0,920745
6,2,2506,Overland Park,1991,1,1,Condo,1,1,1051306
3,1,3085,Overland Park,2004,0,0,Condo,3,0,912438
1,1,2315,KC Downtown,1994,1,1,Apartment,3,0,794664
2,3,3963,KC Downtown,1999,1,0,House,2,0,1116856
2,1,806,Overland Park,2013,1,1,Condo,2,1,562026
4,4,2624,Leawood,1993,0,1,Condo,2,1,933199
5,4,893,Lenexa,2009,0,0,Condo,3,1,735190
3,3,2563,Overland Park,1992,1,0,Condo,3,1,951584
1,4,2473,Olathe,1993,1,0,House,1,0,772306
4,3,2606,Overland Park,2008,1,1,House,3,1,1038845
5,1,2676,KC Downtown,2005,0,1,Apartment,1,1,1017118
4,1,2826,Lenexa,1982,1,1,Condo,2,0,917558
6,1,2688,Lenexa,2004,1,0,Condo,3,1,952066
5,2,1815,Blue Springs,2006,1,0,Apartment,1,1,757033
5,3,2991,Overland Park,2019,0,1,Apartment,1,1,1059370
3,4,2372,Blue Springs,1995,0,1,Condo,3,0,819778
5,1,3463,KC Downtown,2017,1,0,House,2,0,1127986
4,2,3384,Blue Springs,1990,1,0,Apartment,1,1,943862
5,4,1225,Leawood,2008,1,1,Condo,3,1,847945
3,4,877,Overland Park,2003,0,1,Condo,3,1,706925
3,4,1128,Overland Park,2008,0,1,Condo,1,1,734823
6,1,2733,Lenexa,2013,1,1,Apartment,1,0,961933
4,4,2524,Blue Springs,1990,0,0,Apartment,1,1,833304
2,3,2964,Lenexa,1999,1,1,Apartment,3,1,921375
2,2,2480,Olathe,1999,0,0,Condo,3,0,762072
5,4,2525,Blue Springs,1988,1,1,Apartment,3,1,986339
6,4,1292,Blue Springs,2002,0,1,Condo,2,0,826614
1,3,1960,KC Downtown,2015,1,1,House,2,1,826080
5,4,1462,Blue Springs,2006,1,0,House,3,1,812208
6,1,3816,Lenexa,2003,1,1,House,1,0,1202481
4,1,2962,Olathe,2019,0,0,Apartment,3,1,930660
4,1,824,Blue Springs,2004,1,1,Condo,3,1,612041
4,4,3725,Blue Springs,2004,1,1,Apartment,2,1,1087059
4,2,2517,Overland Park,2012,1,0,House,3,1,991573
4,2,2567,Overland Park,2010,1,1,Condo,1,0,940175
6,4,2556,Olathe,1989,0,0,House,2,1,1054900
6,2,2439,Overland Park,2018,0,0,Condo,3,0,1018933
3,2,667,Leawood,1994,1,0,Apartment,2,0,486611
2,4,2242,Overland Park,1980,0,1,Condo,1,1,855950
4,1,1620,Leawood,1995,1,1,House,1,1,728871
1,4,1700,Olathe,2000,0,0,Condo,3,0,649444
6,1,2162,Leawood,1981,1,1,Condo,3,0,926125
1,1,3503,Olathe,1982,1,1,House,2,1,937410
1,2,3826,Lenexa,1994,1,1,House,1,1,1004708
1,2,3743,Overland Park,2011,1,0,House,3,1,1023605
3,1,2124,Blue Springs,2006,1,0,House,1,1,741502
6,1,2070,KC Downtown,2015,1,1,Condo,3,1,1073559
1,2,2315,Blue Springs,2014,0,0,Condo,3,1,640481
4,3,2182,Overland Park,2018,0,1,House,1,0,892286
5,1,1982,Blue Springs,2003,0,1,Condo,3,1,843297
1,1,1900,Overland Park,1987,1,1,House,3,1,721032
3,1,3530,Overland Park,1986,0,1,Condo,3,1,1035377
6,2,1936,Blue Springs,1983,1,1,Apartment,3,1,885060
3,4,3776,Leawood,2009,0,1,Condo,3,0,1053790
1,1,3618,Lenexa,1989,1,0,House,3,1,891384
6,1,3766,Lenexa,2004,0,1,Apartment,3,1,1132605
5,1,1842,Lenexa,2021,1,0,Apartment,3,1,768270
1,4,2305,Lenexa,2011,0,0,House,2,1,746734
3,4,2501,KC Downtown,2011,1,1,House,3,0,1057819
2,1,2567,Olathe,2011,0,0,Condo,3,1,804253
4,1,3799,Overland Park,1989,1,1,Condo,2,0,1118859
3,3,2847,KC Downtown,1988,0,0,Apartment,2,1,952563
6,4,2979,Lenexa,2004,0,1,Condo,1,0,1107556
1,3,3194,Lenexa,2004,0,1,Condo,1,0,839849
4,1,2279,Blue Springs,2020,0,0,Condo,1,0,720943
1,1,1915,Lenexa,1995,0,1,Apartment,1,1,616116
6,1,2713,Overland Park,1995,0,1,Condo,2,0,1043855
1,1,1330,Lenexa,2009,1,0,Condo,1,0,446783
2,2,1167,Lenexa,2017,0,1,House,3,1,635559
4,2,3304,KC Downtown,1984,1,0,Apartment,2,1,1072294
4,2,3051,Overland Park,1986,0,1,House,3,1,1064106
6,3,2348,Leawood,1992,1,1,Apartment,1,1,949770
2,4,2229,Blue Springs,1987,0,0,House,1,0,716924
3,1,3265,Leawood,2012,1,1,House,3,1,944827
1,4,1195,Olathe,1989,1,0,House,1,0,613979
5,2,1247,KC Downtown,1999,1,0,House,1,1,871824
1,1,2793,Lenexa,2011,0,0,Condo,1,0,669708
1,1,3408,Blue Springs,2008,0,1,Condo,1,1,826743
3,3,2153,Olathe,1980,0,0,Condo,3,1,832134
1,4,724,Olathe,2006,1,0,House,1,1,561733
2,3,2137,Overland Park,1999,0,1,Apartment,2,1,807162
2,2,1955,Blue Springs,1993,1,0,Apartment,3,0,647612
4,4,1079,Olathe,1994,0,1,House,3,1,814246
6,2,1601,KC Downtown,1985,1,0,House,2,1,925285
5,3,1311,Lenexa,1981,0,1,Condo,1,1,791808
1,3,2570,KC Downtown,2008,0,1,House,3,0,935792
1,1,3362,Olathe,2018,0,1,Condo,2,1,865995
3,4,2021,Overland Park,2011,1,1,Condo,2,1,924903
6,4,2417,Leawood,1984,1,1,House,2,1,1059479
2,1,1414,Lenexa,2001,0,1,Apartment,3,1,560137
5,4,3701,Lenexa,2007,0,0,Apartment,2,0,1089698
4,2,655,KC Downtown,2011,1,0,House,2,1,775447
2,2,2254,KC Downtown,2008,1,1,Condo,2,0,914424
6,3,731,KC Downtown,2019,0,0,Condo,3,0,808525
4,2,830,Olathe,1982,0,1,Apartment,2,1,651610
3,4,994,Lenexa,2010,0,0,Condo,3,0,661522
3,1,3823,KC Downtown,1992,1,1,Apartment,3,1,1135102
1,3,1581,Blue Springs,1985,1,0,House,2,0,595135
6,1,3610,Olathe,2000,0,0,House,1,0,1135098
5,3,1532,Olathe,1993,1,1,Condo,3,1,898302
4,3,2129,Blue Springs,2004,0,0,House,2,0,800229
2,1,2009,Blue Springs,1986,0,1,House,3,0,664666
6,2,3555,Olathe,2022,1,1,Condo,2,1,1184047
6,2,1132,Lenexa,2001,0,0,Condo,2,1,768747
3,2,1564,KC Downtown,2011,0,0,Apartment,1,0,737290
1,2,3095,Overland Park,2020,0,0,House,3,0,844718
1,1,2773,KC Downtown,2011,1,1,House,3,0,857420
4,4,1154,Lenexa,2021,0,0,Condo,3,1,672704
3,3,3341,Blue Springs,2009,1,0,House,3,0,966923
6,1,3136,Lenexa,1996,1,0,Apartment,2,0,1004283
5,2,3259,KC Downtown,2019,0,0,Apartment,3,0,1127921
3,2,3538,Lenexa,2017,1,0,Condo,1,1,966258
4,1,3093,Overland Park,2000,0,0,House,3,1,1027063
4,3,2093,Lenexa,2005,1,1,Apartment,2,0,833792
3,1,3155,Leawood,2022,1,0,House,2,1,909051
4,1,3104,Lenexa,1982,0,1,Condo,2,1,945225
3,4,3633,KC Downtown,2017,0,1,Condo,2,0,1151171
2,1,984,Leawood,1996,1,0,House,2,0,446441
3,4,1311,Blue Springs,2018,1,1,Apartment,3,1,681704
3,3,3576,KC Downtown,1985,0,0,Condo,3,1,1102104
4,1,2071,Olathe,2000,0,1,House,2,0,811224
4,1,3786,Overland Park,2019,1,0,House,2,0,1109252
1,2,3099,Lenexa,1992,1,1,Apartment,3,1,834906
1,1,1253,Lenexa,1988,0,0,Condo,2,1,504478
2,2,1742,KC Downtown,1984,0,0,House,2,1,725629
1,2,1716,Lenexa,2022,1,0,Condo,1,0,588521
3,2,3168,Lenexa,1986,0,1,Condo,1,0,902168
4,3,2208,Blue Springs,2017,1,0,Condo,1,1,790441
1,4,1137,Lenexa,2017,0,1,House,1,1,625512
1,2,2056,Lenexa,2010,1,0,House,2,1,717868
2,1,2497,Blue Springs,1983,0,0,Apartment,2,0,666674
6,1,2792,Olathe,1992,1,1,Apartment,2,0,1014898
2,2,1691,Lenexa,1994,1,0,Condo,2,0,671621
3,2,1299,Olathe,2019,0,1,House,1,0,680541
4,1,2501,Blue Springs,1992,1,0,Condo,3,1,822114
2,2,2778,Overland Park,2022,0,1,House,2,0,861736
1,4,1332,Lenexa,2022,0,1,House,2,0,609913
4,4,1904,KC Downtown,2022,0,0,Condo,3,1,959247
4,3,2412,Leawood,2005,0,0,Apartment,3,1,836065
1,2,2275,Overland Park,1998,0,1,House,3,1,773693
2,3,1112,Lenexa,1980,1,0,Condo,1,0,576427
1,3,3287,KC Downtown,1992,0,1,Apartment,2,0,949462
6,3,600,Leawood,2004,0,1,Apartment,1,0,662182
4,2,2565,Blue Springs,1999,0,0,House,1,1,814828
5,3,1031,Lenexa,2020,1,1,Condo,3,0,723315
5,4,3038,Olathe,2002,0,1,Apartment,3,0,1057392
3,3,1889,Olathe,2003,0,1,House,1,0,755797
1,4,998,Blue Springs,2022,1,0,Condo,3,1,558501
1,4,1407,Overland Park,2020,0,0,House,3,0,709983
3,2,1879,Olathe,2018,0,0,Condo,3,0,723423
3,3,3042,Leawood,2019,1,0,House,1,1,868462
3,2,1551,Olathe,2009,1,1,House,1,0,734253
4,4,2821,Leawood,2013,1,0,Condo,2,0,977340
6,1,1668,Olathe,1989,1,0,House,3,0,861502
1,3,1454,Blue Springs,2020,0,0,Condo,1,1,534459
4,2,3812,Blue Springs,1980,1,0,Apartment,3,1,1040050
3,1,3186,Olathe,1991,1,0,Apartment,2,1,899684
1,3,1344,Overland Park,2008,1,1,House,2,0,683118
4,3,3368,KC Downtown,1990,1,0,Condo,2,1,1122891
6,2,2697,Olathe,2020,0,0,Apartment,2,0,964527
4,1,3732,Lenexa,1996,0,0,Condo,2,0,990429
6,2,842,KC Downtown,1999,0,0,Apartment,3,1,758378
3,3,3940,Olathe,2017,0,1,Condo,2,0,1088398
6,3,1763,Leawood,1985,0,0,Condo,1,0,800369
1,4,3828,Lenexa,1999,0,1,Apartment,3,0,934482
3,3,3244,Overland Park,1989,1,0,Apartment,3,1,1015454
1,3,2219,KC Downtown,1989,0,1,House,2,0,806254
5,1,875,KC Downtown,2010,1,0,Condo,2,0,729237
2,1,3702,Lenexa,2005,0,1,House,3,1,981731
6,4,607,Overland Park,1996,0,1,Apartment,1,1,794064
2,4,1314,Olathe,1993,1,0,Apartment,3,0,689182
2,4,2558,Overland Park,1984,0,1,Condo,2,1,858587
6,2,2680,Olathe,1982,0,1,Condo,2,1,1039615
3,2,1409,KC Downtown,2022,1,0,Apartment,1,1,757125
5,4,2072,Olathe,1999,0,1,House,1,0,935223
1,2,1527,KC Downtown,1994,0,0,Condo,1,0,628674
4,3,1461,Blue Springs,1982,0,1,Condo,2,0,699717
1,4,636,Lenexa,1982,1,0,House,1,0,474406
4,4,2681,Overland Park,2002,1,1,Apartment,1,0,1039724
1,2,1054,Leawood,1988,0,1,Apartment,2,0,469484
6,1,1043,Lenexa,1990,1,1,Apartment,3,1,778768
5,4,3908,Olathe,2020,1,1,Apartment,1,0,1234820
4,2,811,Blue Springs,1992,1,1,House,1,0,622068
3,2,3811,Lenexa,1987,0,0,Apartment,2,0,982719
1,1,3349,KC Downtown,2001,1,0,Condo,2,0,915051
1,4,3255,Lenexa,2017,0,1,Condo,1,1,917425
4,1,2329,Olathe,2006,1,1,Condo,2,0,850902
3,3,1581,Lenexa,2005,0,1,House,1,0,725775
3,1,3008,Lenexa,2002,0,1,House,2,0,882564
6,1,2951,Olathe,2018,1,1,Condo,3,1,1094239
6,2,895,Leawood,2010,1,1,Apartment,2,1,697791
6,1,751,Blue Springs,2008,0,1,Apartment,3,1,657450
6,3,2569,Lenexa,1980,0,0,Apartment,2,1,980002
6,2,3894,Lenexa,1989,1,1,Apartment,2,0,1177467
6,3,1819,Leawood,1983,1,1,Condo,2,1,938387
5,1,1199,Overland Park,2010,0,0,Apartment,3,1,718002
3,3,1922,Lenexa,1983,1,0,House,3,0,795511
6,3,2152,Olathe,2008,1,0,Apartment,1,1,972848
3,1,2111,Olathe,1988,1,0,Apartment,2,1,724075
3,1,2858,Lenexa,1994,0,1,Condo,1,1,836694
2,2,831,Overland Park,2020,0,1,Apartment,3,0,591173
5,2,3517,Olathe,1982,0,0,Condo,1,0,1027015
6,4,3342,Lenexa,1994,0,1,Condo,1,0,1149972
1,2,966,Lenexa,1990,1,1,Apartment,2,0,494437
4,1,1080,Lenexa,1985,1,0,Condo,2,1,587133
1,3,1171,Blue Springs,1986,0,1,House,3,0,547924
5,3,1802,Olathe,1983,0,1,Condo,1,0,837187
4,2,2107,KC Downtown,2000,0,1,Condo,3,1,954756
5,2,2212,Blue Springs,1980,1,1,Apartment,2,1,882942
3,1,2170,Overland Park,2002,0,0,Apartment,3,0,731495
4,3,1529,Blue Springs,1992,1,0,Condo,2,0,692648
3,4,1639,Blue Springs,2022,0,1,House,3,0,718572
1,4,3113,Leawood,2007,1,1,House,2,1,923495
1,2,2025,Overland Park,2008,1,1,Condo,2,1,745461
4,4,2941,Overland Park,1997,1,1,Condo,3,0,1099584
4,1,770,Overland Park,2002,0,0,Condo,3,0,615704
6,4,1655,Blue Springs,2007,0,1,Condo,2,0,872137
5,2,2910,Overland Park,1988,0,0,Apartment,3,1,1000163
6,1,1838,Olathe,2022,0,1,Condo,1,0,868531
5,3,2606,Leawood,1985,0,1,Condo,1,1,967045
6,1,3205,Lenexa,1995,1,1,House,1,0,1088899
3,2,788,Blue Springs,2016,1,0,Condo,3,0,525070
4,2,1385,Lenexa,1980,0,0,Condo,2,1,711581
1,4,1182,Lenexa,2001,0,1,Condo,3,0,610494
5,4,3649,Blue Springs,2002,1,1,Condo,1,1,1151214
5,3,2431,Olathe,2000,1,0,Condo,3,0,934860
1,3,1199,Blue Springs,2010,0,1,House,2,1,580817
6,2,1445,Overland Park,2017,0,1,Apartment,1,1,900615
5,2,3932,Leawood,2007,0,0,Apartment,3,1,1085670
3,2,2629,Blue Springs,2006,0,0,House,2,0,775086
4,3,1805,Lenexa,2018,1,0,Condo,2,0,776234
1,2,2989,Blue Springs,2021,0,1,House,3,0,786435
4,3,1553,Leawood,2021,1,1,Condo,3,1,788336
5,2,2669,KC Downtown,1992,0,1,Apartment,2,1,1085405
5,1,1697,Olathe,2011,1,1,Apartment,2,1,834477
1,1,2225,Lenexa,1986,0,1,Apartment,1,1,642523
3,2,2470,KC Downtown,2012,0,0,Condo,2,0,896537
2,1,765,KC Downtown,1992,1,0,Condo,3,0,600043
1,3,2624,Leawood,2011,1,1,House,1,1,785514
2,4,833,Olathe,1986,1,1,Condo,3,0,641355
6,1,1998,Blue Springs,1991,1,1,Condo,1,0,844569
2,4,2056,KC Downtown,2019,0,1,Apartment,3,0,876612
3,1,1240,Overland Park,1994,1,0,Condo,1,1,657775
6,3,1957,Blue Springs,2000,0,1,House,1,1,908580
2,1,2427,Olathe,1991,0,1,House,3,1,770089
6,1,1206,Lenexa,1992,0,0,Apartment,2,0,660595
2,2,1139,Blue Springs,2019,0,1,Condo,1,1,525552
3,4,3706,Leawood,2021,0,1,Apartment,3,1,1082352
2,4,2067,Leawood,2018,0,1,Apartment,1,0,715935
2,3,3902,Lenexa,1981,1,1,House,1,0,1043705
2,3,2965,Lenexa,2008,0,0,Apartment,1,0,786585
1,4,942,Lenexa,2008,0,1,Apartment,3,0,542087
1,2,3626,Leawood,2015,1,1,House,2,1,956229
1,2,1236,Olathe,2017,0,1,Apartment,1,0,519721
3,4,678,Olathe,1986,1,1,Apartment,2,1,659910
6,1,3540,Blue Springs,2009,0,0,Condo,1,1,979870
5,4,3220,KC Downtown,2002,0,0,Condo,3,1,1163589
2,1,3096,KC Downtown,2007,1,1,Condo,1,1,980780
2,4,2929,Overland Park,2002,1,1,Condo,1,1,981092
3,1,3322,Leawood,2015,0,0,House,1,1,878557
2,2,2704,Lenexa,2021,1,1,House,1,1,837981
1,4,790,Olathe,2008,0,0,Condo,3,1,528317
5,3,1243,Blue Springs,1983,1,1,Apartment,1,0,711011
4,1,2086,Olathe,1999,1,0,Apartment,3,0,773102
2,2,2689,Leawood,1984,0,1,Apartment,1,0,755826
1,3,2109,Overland Park,1990,1,1,Condo,3,1,827840
4,2,3844,Olathe,1981,0,1,Apartment,1,1,1100054
5,1,3326,KC Downtown,2020,0,0,House,1,0,1059416
4,4,3921,Blue Springs,2003,1,1,Condo,1,1,1143740
1,2,3149,KC Downtown,2012,1,1,Condo,3,0,992691
6,4,1816,Blue Springs,2001,0,0,Apartment,2,0,836129
6,4,1389,Lenexa,1985,1,1,Condo,3,1,946963
4,2,3397,Blue Springs,2003,0,0,Apartment,1,1,941916
3,2,1341,Lenexa,2008,1,1,Condo,2,1,700784
4,2,2812,Leawood,2011,1,1,Apartment,3,1,928681
2,4,3402,KC Downtown,2009,1,0,Apartment,3,0,1057145
2,3,689,Blue Springs,2020,1,1,Apartment,1,1,475057
6,1,2314,Blue Springs,1982,1,0,Apartment,1,0,831645
3,3,1586,Overland Park,2004,0,0,Apartment,3,0,732313
1,4,3729,KC Downtown,2007,0,0,House,1,0,991090
2,2,3934,Leawood,1994,1,0,House,2,0,934610
6,2,1247,Lenexa,1996,0,0,Apartment,1,1,747966
5,1,3397,Leawood,1981,0,0,House,2,0,955186
6,1,1418,Overland Park,2006,0,1,Apartment,2,0,789429
2,3,842,Leawood,2015,0,1,Apartment,1,1,528473
2,3,3310,Lenexa,1993,0,0,House,3,1,921576
6,1,3505,KC Downtown,2022,1,0,House,2,1,1219924
1,4,2499,Olathe,2011,1,0,Apartment,1,1,788556
4,3,818,Overland Park,1991,1,1,House,2,0,760379
2,2,608,Blue Springs,2002,0,1,Condo,3,1,502395
6,2,1029,Blue Springs,1995,0,0,House,3,1,736515
6,4,612,KC Downtown,1981,1,0,Apartment,3,1,873812
3,1,2398,Olathe,1986,1,0,Condo,2,0,772296
4,3,3554,Leawood,2000,0,0,House,2,1,1039734
5,2,3617,Blue Springs,2010,0,1,House,2,0,1070481
1,1,3896,Overland Park,2002,0,0,House,3,0,903426
5,3,1289,Olathe,2004,0,1,House,1,1,818423
4,4,2382,Lenexa,2014,0,1,House,2,1,978573
4,2,3738,Leawood,2014,0,0,Apartment,1,1,991472
4,4,1276,Olathe,1986,1,0,House,2,0,790243
5,4,2831,Lenexa,1984,1,0,Condo,1,1,1021147
4,4,1604,Olathe,2011,1,0,House,2,0,843087
6,3,807,Olathe,1984,1,1,House,1,1,806482
5,4,3175,Leawood,2004,0,1,Apartment,1,0,1036089
4,3,1923,Overland Park,2010,0,1,Apartment,3,1,928133
6,3,3465,Lenexa,1999,1,0,Condo,3,0,1166697
3,4,1602,Overland Park,2001,0,1,Apartment,2,1,798222
4,4,3912,Lenexa,2017,1,0,Condo,1,0,1090865
5,1,3102,Leawood,1992,1,0,House,3,0,1013011
2,2,2365,Overland Park,2018,1,0,Apartment,1,1,813593
4,1,3549,Leawood,1981,1,1,House,1,0,1051926
2,2,2153,Olathe,2001,1,0,House,3,1,792767
6,2,2282,Olathe,1988,0,0,Apartment,3,0,859904
